Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,"0,04","$16.174,00","6,29",Chicago,2021-01-01,506,1922,6,Health & Wellness,1,January
2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,"0,12","$11.566,00","5,61",New York,2021-01-02,116,7523,7,Fashionistas,1,January
3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,"0,07","$10.200,00","7,18",Los Angeles,2021-01-03,584,7698,1,Outdoor Adventurers,1,January
4,DataTech Solutions,Display,All Ages,60 days,YouTube,"0,11","$12.724,00","5,55",Miami,2021-01-04,217,1820,7,Health & Wellness,1,January
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,"0,05","$16.452,00","6,5",Los Angeles,2021-01-05,379,4201,3,Health & Wellness,1,January
6,DataTech Solutions,Display,All Ages,15 days,Instagram,"0,07","$9.716,00","4,36",New York,2021-01-06,100,1643,1,Foodies,1,January
7,NexGen Systems,Email,Women 35-44,60 days,Website,"0,13","$11.067,00","2,86",Los Angeles,2021-01-07,817,8749,10,Tech Enthusiasts,1,January
8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,"0,08","$13.280,00","5,55",Los Angeles,2021-01-08,624,7854,7,Outdoor Adventurers,1,January
9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,"0,09","$18.066,00","6,73",Chicago,2021-01-09,861,1754,6,Tech Enthusiasts,1,January
10,TechCorp,Email,Women 35-44,15 days,Instagram,"0,09","$13.766,00","3,78",Los Angeles,2021-01-10,642,3856,3,Tech Enthusiasts,1,January
11,NexGen Systems,Display,Men 25-34,45 days,Email,"0,12","$8.590,00","3,49",New York,2021-01-11,321,6628,10,Tech Enthusiasts,1,January
12,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,"0,05","$17.502,00","3,59",Los Angeles,2021-01-12,659,8948,1,Foodies,1,January
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,"0,09","$17.189,00","4,91",Chicago,2021-01-13,677,8817,10,Tech Enthusiasts,1,January
14,TechCorp,Email,Men 25-34,45 days,Instagram,"0,14","$9.975,00","7,06",New York,2021-01-14,994,2201,4,Health & Wellness,1,January
15,TechCorp,Display,All Ages,45 days,Website,"0,04","$11.346,00","5,28",Chicago,2021-01-15,482,8470,1,Outdoor Adventurers,1,January
16,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,"0,11","$9.407,00","2,91",New York,2021-01-16,299,1512,5,Health & Wellness,1,January
17,Innovate Industries,Display,Women 35-44,45 days,Website,"0,08","$5.478,00","4,53",Houston,2021-01-17,931,2488,3,Fashionistas,1,January
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,"0,14","$9.485,00","4,48",Miami,2021-01-18,218,9264,9,Health & Wellness,1,January
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,"0,07","$19.224,00","6,08",New York,2021-01-19,182,5798,1,Foodies,1,January
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,"0,09","$10.258,00","3,83",Miami,2021-01-20,193,3677,1,Tech Enthusiasts,1,January
21,DataTech Solutions,Search,Women 25-34,15 days,Email,"0,04","$16.580,00","7,99",New York,2021-01-21,975,1561,3,Outdoor Adventurers,1,January
22,TechCorp,Influencer,All Ages,30 days,Facebook,"0,02","$12.824,00","6,21",New York,2021-01-22,319,8586,2,Foodies,1,January
23,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,"0,13","$8.699,00","2,12",Miami,2021-01-23,646,3841,5,Health & Wellness,1,January
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,"0,04","$17.608,00","7,31",Miami,2021-01-24,764,2157,8,Health & Wellness,1,January
25,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,"0,07","$8.773,00","6,03",Miami,2021-01-25,527,1733,1,Fashionistas,1,January
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,"0,04","$14.756,00","6,23",Houston,2021-01-26,809,8236,10,Health & Wellness,1,January
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,"0,09","$9.182,00","6,03",Houston,2021-01-27,953,6916,5,Fashionistas,1,January
28,TechCorp,Email,Men 25-34,30 days,YouTube,"0,07","$6.601,00","3,29",New York,2021-01-28,604,2420,3,Foodies,1,January
29,TechCorp,Influencer,Men 18-24,60 days,Email,"0,09","$11.552,00","7,12",Chicago,2021-01-29,384,7620,7,Tech Enthusiasts,1,January
30,TechCorp,Social Media,Women 25-34,30 days,Email,"0,09","$11.608,00","3,61",Los Angeles,2021-01-30,952,4055,1,Tech Enthusiasts,1,January
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,"0,07","$13.124,00","2,77",Houston,2021-01-31,512,4837,4,Tech Enthusiasts,1,January
366,Alpha Innovations,Social Media,All Ages,60 days,Facebook,"0,07","$15.748,00","7,14",New York,2021-01-01,326,6464,10,Health & Wellness,1,January
367,Alpha Innovations,Email,Men 25-34,45 days,Google Ads,"0,05","$18.419,00","5,13",Houston,2021-01-02,238,3615,5,Foodies,1,January
368,DataTech Solutions,Influencer,Men 18-24,15 days,Facebook,"0,15","$9.913,00","3,57",New York,2021-01-03,309,8560,3,Foodies,1,January
369,Innovate Industries,Influencer,Men 18-24,45 days,Instagram,"0,09","$9.187,00","3,75",Houston,2021-01-04,969,4620,1,Tech Enthusiasts,1,January
370,TechCorp,Social Media,Women 35-44,45 days,Email,"0,12","$12.157,00","7,61",New York,2021-01-05,901,7766,9,Fashionistas,1,January
371,Alpha Innovations,Display,All Ages,30 days,Website,"0,08","$7.789,00","3,37",Houston,2021-01-06,636,1287,6,Tech Enthusiasts,1,January
372,TechCorp,Email,Men 25-34,30 days,Email,"0,09","$14.392,00","6,94",Chicago,2021-01-07,849,3258,5,Tech Enthusiasts,1,January
373,Alpha Innovations,Search,Men 18-24,30 days,Google Ads,"0,14","$14.255,00","3,96",Houston,2021-01-08,318,7567,8,Tech Enthusiasts,1,January
374,Alpha Innovations,Search,Women 25-34,30 days,Email,"0,05","$18.926,00","5,66",New York,2021-01-09,846,4907,1,Fashionistas,1,January
375,TechCorp,Influencer,Women 35-44,30 days,Website,"0,11","$17.286,00","2,18",Chicago,2021-01-10,957,6429,5,Health & Wellness,1,January
376,NexGen Systems,Social Media,Women 25-34,30 days,Facebook,"0,09","$9.309,00","4,27",Miami,2021-01-11,289,9828,1,Tech Enthusiasts,1,January
377,NexGen Systems,Social Media,Men 18-24,45 days,Facebook,"0,11","$5.188,00","4,75",Chicago,2021-01-12,471,4732,1,Tech Enthusiasts,1,January
378,NexGen Systems,Social Media,Women 25-34,60 days,Google Ads,"0,02","$12.282,00","4,65",Houston,2021-01-13,791,9225,5,Outdoor Adventurers,1,January
379,NexGen Systems,Email,Women 35-44,45 days,Google Ads,"0,03","$18.162,00","6,87",Miami,2021-01-14,887,7542,3,Tech Enthusiasts,1,January
380,Alpha Innovations,Display,All Ages,60 days,YouTube,"0,04","$13.380,00","5,75",New York,2021-01-15,146,8829,3,Outdoor Adventurers,1,January
381,Innovate Industries,Influencer,Men 25-34,45 days,Instagram,"0,05","$7.519,00","3,42",Chicago,2021-01-16,735,7427,9,Fashionistas,1,January
382,Innovate Industries,Email,Men 25-34,15 days,Google Ads,"0,1","$8.434,00","3,53",Los Angeles,2021-01-17,202,9587,6,Health & Wellness,1,January
383,TechCorp,Email,Women 25-34,15 days,Instagram,"0,04","$8.451,00","3,44",Los Angeles,2021-01-18,829,6830,8,Foodies,1,January
384,TechCorp,Social Media,Women 25-34,45 days,YouTube,"0,04","$17.141,00","6,74",New York,2021-01-19,134,6143,10,Tech Enthusiasts,1,January
385,TechCorp,Influencer,Men 25-34,60 days,Facebook,"0,03","$5.287,00","7,55",New York,2021-01-20,335,1711,6,Fashionistas,1,January
386,Alpha Innovations,Email,Women 25-34,60 days,Facebook,"0,15","$10.994,00","2,27",Los Angeles,2021-01-21,512,2323,4,Foodies,1,January
387,Alpha Innovations,Search,All Ages,60 days,Instagram,"0,08","$5.599,00","2,81",Houston,2021-01-22,896,7009,10,Health & Wellness,1,January
388,Innovate Industries,Search,All Ages,60 days,Instagram,"0,14","$16.625,00","7,76",Los Angeles,2021-01-23,123,3249,7,Health & Wellness,1,January
389,Alpha Innovations,Email,Women 25-34,45 days,Instagram,"0,02","$12.324,00","6,17",New York,2021-01-24,727,9864,5,Health & Wellness,1,January
390,Alpha Innovations,Display,Men 25-34,45 days,Email,"0,04","$5.151,00","3,98",Chicago,2021-01-25,294,1846,8,Outdoor Adventurers,1,January
391,DataTech Solutions,Social Media,Men 25-34,30 days,Instagram,"0,02","$6.405,00","2,97",Miami,2021-01-26,435,3371,2,Foodies,1,January
392,Alpha Innovations,Email,All Ages,60 days,Facebook,"0,09","$7.704,00","6,26",Houston,2021-01-27,718,2485,5,Fashionistas,1,January
393,Innovate Industries,Display,Women 25-34,15 days,Facebook,"0,07","$16.130,00","5,83",Miami,2021-01-28,733,4550,10,Fashionistas,1,January
394,DataTech Solutions,Influencer,Women 25-34,15 days,Facebook,"0,03","$6.204,00","4,06",Chicago,2021-01-29,454,7764,9,Health & Wellness,1,January
395,Innovate Industries,Display,Women 35-44,45 days,YouTube,"0,12","$13.813,00","4,46",Miami,2021-01-30,806,3041,9,Outdoor Adventurers,1,January
396,TechCorp,Search,Men 18-24,15 days,YouTube,"0,15","$13.689,00","2,6",Chicago,2021-01-31,232,8249,5,Tech Enthusiasts,1,January
731,NexGen Systems,Email,Women 25-34,15 days,Google Ads,"0,06","$18.335,00","3,53",Los Angeles,2021-01-01,448,9779,3,Tech Enthusiasts,1,January
732,NexGen Systems,Influencer,Men 18-24,15 days,Facebook,"0,12","$14.594,00","6,78",Los Angeles,2021-01-02,381,3706,7,Foodies,1,January
733,NexGen Systems,Influencer,Women 25-34,60 days,Website,"0,08","$15.973,00","6,81",Chicago,2021-01-03,556,2878,1,Outdoor Adventurers,1,January
734,TechCorp,Social Media,Women 35-44,15 days,Instagram,"0,1","$15.101,00","2,91",Los Angeles,2021-01-04,497,4385,3,Health & Wellness,1,January
735,NexGen Systems,Email,Men 25-34,30 days,Website,"0,08","$10.122,00","6,02",Miami,2021-01-05,418,3665,1,Fashionistas,1,January
736,DataTech Solutions,Display,Women 25-34,60 days,Website,"0,15","$7.802,00","4,18",New York,2021-01-06,621,7180,1,Foodies,1,January
737,Alpha Innovations,Influencer,Women 35-44,45 days,Facebook,"0,04","$13.662,00","4,87",Miami,2021-01-07,705,4721,10,Foodies,1,January
738,NexGen Systems,Search,Men 18-24,60 days,Instagram,"0,12","$19.207,00","4,88",Houston,2021-01-08,284,6664,8,Fashionistas,1,January
739,Alpha Innovations,Influencer,Men 25-34,15 days,Email,"0,04","$9.328,00","5,67",Houston,2021-01-09,241,1268,1,Foodies,1,January
740,Alpha Innovations,Email,Men 25-34,15 days,Facebook,"0,13","$9.558,00","5,06",New York,2021-01-10,360,4728,8,Fashionistas,1,January
741,DataTech Solutions,Display,Men 18-24,30 days,Instagram,"0,12","$10.631,00","5,28",Houston,2021-01-11,293,9534,10,Fashionistas,1,January
742,Alpha Innovations,Email,Men 18-24,15 days,Google Ads,"0,04","$19.902,00","7,65",Chicago,2021-01-12,464,9991,3,Outdoor Adventurers,1,January
743,TechCorp,Search,All Ages,60 days,Facebook,"0,06","$7.086,00","6,02",Los Angeles,2021-01-13,624,5869,9,Health & Wellness,1,January
744,DataTech Solutions,Social Media,Women 35-44,60 days,Website,"0,11","$11.332,00","2,34",Chicago,2021-01-14,968,9725,5,Fashionistas,1,January
745,Alpha Innovations,Influencer,Men 25-34,30 days,Instagram,"0,09","$15.817,00","2,5",New York,2021-01-15,617,5480,6,Foodies,1,January
746,TechCorp,Influencer,Men 25-34,60 days,Instagram,"0,06","$17.001,00","7,95",Miami,2021-01-16,377,1655,6,Tech Enthusiasts,1,January
747,Innovate Industries,Influencer,Women 25-34,45 days,Facebook,"0,05","$13.659,00","4,55",Houston,2021-01-17,328,6789,7,Outdoor Adventurers,1,January
748,Alpha Innovations,Influencer,Men 18-24,60 days,YouTube,"0,13","$18.557,00","6,85",Houston,2021-01-18,194,9701,5,Tech Enthusiasts,1,January
749,TechCorp,Display,Women 25-34,15 days,YouTube,"0,05","$5.875,00","5,01",Miami,2021-01-19,776,9382,8,Fashionistas,1,January
750,DataTech Solutions,Display,Men 18-24,45 days,Google Ads,"0,15","$10.556,00","3,51",Chicago,2021-01-20,761,2186,7,Health & Wellness,1,January
751,Innovate Industries,Search,All Ages,60 days,Instagram,"0,09","$11.526,00","6,19",Los Angeles,2021-01-21,289,5038,7,Fashionistas,1,January
752,Alpha Innovations,Display,Men 18-24,45 days,YouTube,"0,05","$13.264,00","5,73",Chicago,2021-01-22,364,4288,3,Tech Enthusiasts,1,January
753,TechCorp,Influencer,Women 35-44,45 days,Facebook,"0,02","$18.963,00","6,72",Miami,2021-01-23,452,6828,7,Tech Enthusiasts,1,January
754,NexGen Systems,Social Media,Men 18-24,60 days,Email,"0,05","$12.159,00","5,39",Miami,2021-01-24,344,7327,5,Tech Enthusiasts,1,January
755,TechCorp,Influencer,Women 35-44,60 days,Email,"0,09","$15.039,00","3,66",New York,2021-01-25,679,6655,3,Tech Enthusiasts,1,January
756,Alpha Innovations,Social Media,Women 35-44,45 days,YouTube,"0,04","$7.113,00","4,29",Los Angeles,2021-01-26,268,4346,4,Foodies,1,January
757,DataTech Solutions,Display,Women 25-34,60 days,Email,"0,12","$13.504,00","2,01",New York,2021-01-27,561,4474,7,Health & Wellness,1,January
758,DataTech Solutions,Influencer,Women 35-44,15 days,YouTube,"0,03","$5.475,00","5,65",Chicago,2021-01-28,265,7782,3,Health & Wellness,1,January
759,Innovate Industries,Email,All Ages,45 days,Website,"0,04","$12.252,00","7,84",Chicago,2021-01-29,816,4036,10,Outdoor Adventurers,1,January
