Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment,Month,Month_Name
182,DataTech Solutions,Influencer,Women 35-44,15 days,Facebook,"0,06","$19.143,00","2,58",Los Angeles,2021-07-01,690,1087,7,Tech Enthusiasts,7,July
183,TechCorp,Influencer,Women 35-44,15 days,Instagram,"0,06","$18.350,00","3,2",New York,2021-07-02,372,3266,4,Health & Wellness,7,July
184,DataTech Solutions,Social Media,Men 18-24,45 days,Email,"0,06","$12.315,00","3,97",Chicago,2021-07-03,505,4099,7,Fashionistas,7,July
185,NexGen Systems,Influencer,Men 25-34,15 days,Instagram,"0,14","$17.598,00","7,27",Chicago,2021-07-04,961,8475,7,Outdoor Adventurers,7,July
186,TechCorp,Email,Women 35-44,30 days,Instagram,"0,05","$19.545,00","2,57",Houston,2021-07-05,209,1917,1,Health & Wellness,7,July
187,NexGen Systems,Email,Men 25-34,60 days,Email,"0,13","$14.231,00","6,28",Chicago,2021-07-06,312,8509,3,Health & Wellness,7,July
188,Alpha Innovations,Influencer,Women 25-34,30 days,Instagram,"0,11","$15.162,00","7,8",Chicago,2021-07-07,360,6030,8,Tech Enthusiasts,7,July
189,DataTech Solutions,Social Media,Women 25-34,15 days,Email,"0,12","$15.403,00","6,21",Houston,2021-07-08,542,6792,6,Foodies,7,July
190,Innovate Industries,Influencer,All Ages,15 days,Email,"0,06","$5.363,00","5,46",Chicago,2021-07-09,369,8511,8,Tech Enthusiasts,7,July
191,DataTech Solutions,Social Media,Women 35-44,60 days,Website,"0,12","$13.903,00","2,46",Chicago,2021-07-10,461,9733,9,Tech Enthusiasts,7,July
192,TechCorp,Influencer,Men 25-34,45 days,Facebook,"0,12","$14.271,00","5,64",New York,2021-07-11,842,2301,1,Health & Wellness,7,July
193,DataTech Solutions,Social Media,Men 25-34,30 days,Google Ads,"0,05","$13.744,00","4,7",Miami,2021-07-12,743,5155,5,Fashionistas,7,July
194,NexGen Systems,Email,All Ages,15 days,Google Ads,"0,1","$6.093,00","4,28",New York,2021-07-13,423,1340,7,Foodies,7,July
195,DataTech Solutions,Email,All Ages,45 days,Email,"0,07","$5.272,00","3,62",Chicago,2021-07-14,939,9590,9,Foodies,7,July
196,DataTech Solutions,Display,Women 35-44,30 days,YouTube,"0,02","$6.208,00","7,31",Houston,2021-07-15,257,9939,8,Health & Wellness,7,July
197,Innovate Industries,Influencer,Women 25-34,45 days,Email,"0,1","$15.437,00","3,72",Los Angeles,2021-07-16,683,4212,6,Tech Enthusiasts,7,July
198,DataTech Solutions,Display,Men 18-24,15 days,Instagram,"0,01","$16.368,00","4,37",Los Angeles,2021-07-17,433,8942,5,Tech Enthusiasts,7,July
199,Innovate Industries,Influencer,Men 18-24,45 days,Email,"0,14","$10.939,00","4,79",Miami,2021-07-18,146,1404,3,Outdoor Adventurers,7,July
200,TechCorp,Influencer,Men 25-34,30 days,Google Ads,"0,02","$16.312,00","2,63",Chicago,2021-07-19,117,4406,7,Outdoor Adventurers,7,July
201,Innovate Industries,Search,Women 35-44,60 days,Facebook,"0,09","$9.518,00","4,22",Houston,2021-07-20,324,8445,6,Tech Enthusiasts,7,July
202,DataTech Solutions,Influencer,Women 35-44,45 days,Instagram,"0,13","$16.258,00","5,83",Chicago,2021-07-21,317,2305,10,Foodies,7,July
203,DataTech Solutions,Display,All Ages,30 days,Email,"0,1","$7.176,00","7,27",Los Angeles,2021-07-22,472,7157,10,Tech Enthusiasts,7,July
204,TechCorp,Influencer,Men 18-24,45 days,Google Ads,"0,15","$14.405,00","7,51",Los Angeles,2021-07-23,896,7502,9,Foodies,7,July
205,DataTech Solutions,Influencer,Women 35-44,45 days,Email,"0,11","$13.293,00","7,49",Chicago,2021-07-24,132,1159,10,Foodies,7,July
206,Innovate Industries,Email,Men 18-24,15 days,Website,"0,12","$14.318,00","3,69",Miami,2021-07-25,210,2135,3,Tech Enthusiasts,7,July
207,TechCorp,Social Media,Women 25-34,60 days,Instagram,"0,05","$8.772,00","6,29",New York,2021-07-26,209,6176,6,Health & Wellness,7,July
208,DataTech Solutions,Display,Women 25-34,45 days,Google Ads,"0,11","$12.864,00","2,87",Los Angeles,2021-07-27,280,2676,7,Health & Wellness,7,July
209,NexGen Systems,Display,All Ages,15 days,Google Ads,"0,11","$17.562,00","3,66",Chicago,2021-07-28,308,6903,7,Health & Wellness,7,July
210,Innovate Industries,Display,All Ages,45 days,Email,"0,08","$17.461,00","2,81",Los Angeles,2021-07-29,554,8096,10,Health & Wellness,7,July
211,DataTech Solutions,Search,Women 35-44,30 days,Website,"0,08","$19.366,00","7,94",Chicago,2021-07-30,868,8919,10,Health & Wellness,7,July
212,NexGen Systems,Social Media,All Ages,30 days,Instagram,"0,02","$6.907,00","2,39",Houston,2021-07-31,376,1503,5,Foodies,7,July
547,NexGen Systems,Influencer,Men 18-24,60 days,Google Ads,"0,07","$10.088,00","5,79",New York,2021-07-01,921,9943,10,Fashionistas,7,July
548,NexGen Systems,Search,All Ages,15 days,Instagram,"0,14","$6.341,00","7,89",New York,2021-07-02,457,2621,3,Foodies,7,July
549,TechCorp,Influencer,Women 35-44,30 days,Email,"0,11","$16.691,00","6,12",Miami,2021-07-03,430,5430,7,Tech Enthusiasts,7,July
550,NexGen Systems,Email,Women 35-44,15 days,Website,"0,05","$5.279,00","7,26",Los Angeles,2021-07-04,973,1947,2,Outdoor Adventurers,7,July
551,NexGen Systems,Email,Women 25-34,30 days,Website,"0,14","$13.778,00","3,57",Houston,2021-07-05,129,2538,4,Tech Enthusiasts,7,July
552,Alpha Innovations,Influencer,Men 25-34,60 days,Email,"0,1","$16.094,00","5,65",Chicago,2021-07-06,698,2868,3,Fashionistas,7,July
553,Innovate Industries,Email,Women 25-34,30 days,Email,"0,04","$16.512,00","2,81",Chicago,2021-07-07,588,4161,10,Fashionistas,7,July
554,Alpha Innovations,Email,Men 18-24,30 days,Google Ads,"0,05","$7.247,00","7,85",Chicago,2021-07-08,141,6235,4,Fashionistas,7,July
555,NexGen Systems,Influencer,All Ages,15 days,Email,"0,02","$5.244,00","5,29",Chicago,2021-07-09,416,3785,9,Tech Enthusiasts,7,July
556,Innovate Industries,Email,Women 35-44,30 days,Facebook,"0,15","$14.082,00","7,44",Miami,2021-07-10,655,9066,2,Outdoor Adventurers,7,July
557,TechCorp,Social Media,Men 18-24,60 days,Email,"0,11","$17.786,00","5,89",Los Angeles,2021-07-11,557,9866,5,Foodies,7,July
558,Innovate Industries,Influencer,Men 18-24,15 days,Facebook,"0,08","$19.714,00","3,57",Miami,2021-07-12,411,2211,3,Foodies,7,July
559,Innovate Industries,Display,Men 25-34,60 days,Instagram,"0,03","$6.582,00","3,1",Chicago,2021-07-13,750,5588,7,Health & Wellness,7,July
560,Innovate Industries,Email,All Ages,60 days,Google Ads,"0,1","$16.574,00","4,82",Miami,2021-07-14,260,2996,10,Fashionistas,7,July
561,TechCorp,Email,All Ages,60 days,Email,"0,1","$18.996,00","3,12",Los Angeles,2021-07-15,890,8676,4,Health & Wellness,7,July
562,Alpha Innovations,Influencer,Women 25-34,30 days,Instagram,"0,12","$13.107,00","4,87",Miami,2021-07-16,340,6394,2,Tech Enthusiasts,7,July
563,Alpha Innovations,Influencer,Men 25-34,15 days,Website,"0,09","$5.801,00","7,42",New York,2021-07-17,714,2288,2,Health & Wellness,7,July
564,TechCorp,Influencer,Men 18-24,15 days,Google Ads,"0,09","$8.660,00","6,38",Los Angeles,2021-07-18,172,9548,2,Outdoor Adventurers,7,July
565,Innovate Industries,Display,Women 35-44,30 days,Website,"0,13","$9.283,00","2,18",Houston,2021-07-19,363,6711,1,Health & Wellness,7,July
566,Alpha Innovations,Influencer,All Ages,60 days,Instagram,"0,1","$12.002,00","6,53",Houston,2021-07-20,876,6554,7,Health & Wellness,7,July
567,NexGen Systems,Display,All Ages,15 days,Website,"0,08","$12.929,00","4,64",Los Angeles,2021-07-21,605,4566,7,Tech Enthusiasts,7,July
568,TechCorp,Search,Men 25-34,45 days,Google Ads,"0,12","$16.013,00","4,75",Chicago,2021-07-22,727,1353,9,Outdoor Adventurers,7,July
569,Alpha Innovations,Search,All Ages,15 days,Google Ads,"0,08","$6.640,00","4,53",Miami,2021-07-23,508,2900,6,Outdoor Adventurers,7,July
570,DataTech Solutions,Email,Men 25-34,60 days,Instagram,"0,05","$12.075,00","2,84",Houston,2021-07-24,261,8859,3,Outdoor Adventurers,7,July
571,Alpha Innovations,Email,All Ages,60 days,Google Ads,"0,12","$5.236,00","6,38",Miami,2021-07-25,444,4623,10,Foodies,7,July
572,NexGen Systems,Social Media,All Ages,45 days,Google Ads,"0,13","$18.195,00","6,35",Chicago,2021-07-26,629,2473,10,Health & Wellness,7,July
573,DataTech Solutions,Social Media,Women 35-44,60 days,YouTube,"0,06","$12.557,00","6,76",Houston,2021-07-27,348,5800,6,Health & Wellness,7,July
574,TechCorp,Social Media,Women 35-44,30 days,Email,"0,04","$12.024,00","7,03",Miami,2021-07-28,971,7660,3,Health & Wellness,7,July
575,NexGen Systems,Influencer,Men 25-34,15 days,Facebook,"0,08","$13.831,00","5,76",Los Angeles,2021-07-29,133,2508,6,Fashionistas,7,July
576,NexGen Systems,Display,All Ages,15 days,Instagram,"0,04","$14.207,00","2,87",Houston,2021-07-30,952,7391,10,Outdoor Adventurers,7,July
577,Innovate Industries,Email,Men 18-24,45 days,Instagram,"0,14","$10.698,00","5,45",Houston,2021-07-31,593,8788,8,Tech Enthusiasts,7,July
912,NexGen Systems,Display,All Ages,60 days,Facebook,"0,09","$19.266,00","5,32",Chicago,2021-07-01,249,6219,1,Health & Wellness,7,July
913,NexGen Systems,Search,All Ages,45 days,Instagram,"0,15","$10.797,00","5,06",New York,2021-07-02,423,2154,10,Tech Enthusiasts,7,July
914,Alpha Innovations,Influencer,All Ages,30 days,YouTube,"0,04","$15.949,00","5,87",Chicago,2021-07-03,607,2857,3,Foodies,7,July
915,TechCorp,Social Media,All Ages,45 days,YouTube,"0,14","$11.429,00","6,9",Houston,2021-07-04,976,8707,7,Fashionistas,7,July
916,DataTech Solutions,Influencer,Men 25-34,60 days,Instagram,"0,04","$8.515,00","2,78",Los Angeles,2021-07-05,152,6533,10,Health & Wellness,7,July
917,Innovate Industries,Social Media,Men 25-34,30 days,YouTube,"0,1","$11.022,00","3,11",Los Angeles,2021-07-06,709,7382,8,Foodies,7,July
918,DataTech Solutions,Email,Women 35-44,45 days,Website,"0,02","$17.373,00","5,9",New York,2021-07-07,406,9078,10,Health & Wellness,7,July
919,TechCorp,Display,Men 25-34,60 days,Google Ads,"0,13","$13.444,00","4,77",Chicago,2021-07-08,143,5198,2,Outdoor Adventurers,7,July
920,Alpha Innovations,Social Media,Men 25-34,60 days,Email,"0,11","$18.267,00","2,71",Miami,2021-07-09,713,2781,9,Fashionistas,7,July
921,TechCorp,Influencer,Men 25-34,45 days,Email,"0,05","$17.185,00",5,New York,2021-07-10,465,7105,9,Tech Enthusiasts,7,July
922,Innovate Industries,Search,Men 18-24,45 days,Instagram,"0,05","$6.168,00","7,47",Miami,2021-07-11,144,2171,1,Foodies,7,July
923,Alpha Innovations,Display,All Ages,15 days,YouTube,"0,13","$5.415,00","4,65",New York,2021-07-12,624,2430,2,Health & Wellness,7,July
924,Innovate Industries,Email,Men 25-34,45 days,YouTube,"0,04","$13.580,00","5,41",Houston,2021-07-13,614,5273,9,Foodies,7,July
925,Innovate Industries,Social Media,All Ages,60 days,YouTube,"0,09","$6.258,00","4,01",Chicago,2021-07-14,879,5281,9,Foodies,7,July
926,DataTech Solutions,Influencer,All Ages,15 days,Website,"0,13","$17.604,00","5,25",Miami,2021-07-15,278,9591,10,Health & Wellness,7,July
927,DataTech Solutions,Social Media,Men 18-24,30 days,Website,"0,03","$18.699,00","4,33",Houston,2021-07-16,583,2856,8,Tech Enthusiasts,7,July
928,NexGen Systems,Social Media,Men 25-34,60 days,YouTube,"0,08","$8.471,00","3,7",Chicago,2021-07-17,347,2133,8,Foodies,7,July
929,NexGen Systems,Social Media,Women 35-44,45 days,Instagram,"0,03","$16.294,00","5,41",New York,2021-07-18,919,8709,2,Foodies,7,July
930,Alpha Innovations,Display,All Ages,15 days,Website,"0,13","$16.986,00","2,55",New York,2021-07-19,908,1968,9,Tech Enthusiasts,7,July
931,Alpha Innovations,Search,Women 35-44,60 days,YouTube,"0,08","$10.197,00","6,36",Houston,2021-07-20,292,6494,4,Outdoor Adventurers,7,July
932,Alpha Innovations,Search,Men 25-34,15 days,Facebook,"0,1","$9.723,00","3,67",Chicago,2021-07-21,655,4817,6,Health & Wellness,7,July
933,Innovate Industries,Email,Women 25-34,60 days,Website,"0,01","$15.592,00","5,83",Chicago,2021-07-22,262,2280,9,Health & Wellness,7,July
934,NexGen Systems,Search,Women 35-44,30 days,Website,"0,09","$8.889,00","4,68",Los Angeles,2021-07-23,733,5645,7,Foodies,7,July
935,Alpha Innovations,Influencer,Men 18-24,30 days,Website,"0,13","$8.924,00","4,84",New York,2021-07-24,831,6917,6,Outdoor Adventurers,7,July
936,Innovate Industries,Display,Men 25-34,15 days,Google Ads,"0,08","$6.089,00","2,24",Miami,2021-07-25,690,2976,3,Fashionistas,7,July
937,Innovate Industries,Search,Men 18-24,45 days,Google Ads,"0,15","$18.187,00","7,57",Los Angeles,2021-07-26,240,7918,2,Foodies,7,July
938,Alpha Innovations,Email,Men 18-24,45 days,Facebook,"0,02","$12.416,00","3,07",Chicago,2021-07-27,547,3996,9,Outdoor Adventurers,7,July
939,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,"0,11","$6.795,00","5,44",Los Angeles,2021-07-28,534,6614,1,Tech Enthusiasts,7,July
940,TechCorp,Influencer,Men 25-34,60 days,Website,"0,12","$18.603,00","6,98",New York,2021-07-29,740,1181,1,Foodies,7,July
941,Innovate Industries,Social Media,Women 35-44,45 days,Instagram,"0,05","$12.988,00","6,89",New York,2021-07-30,198,1415,2,Outdoor Adventurers,7,July
942,Alpha Innovations,Display,Women 25-34,30 days,Website,"0,02","$8.505,00","5,77",Houston,2021-07-31,545,9721,2,Tech Enthusiasts,7,July
1277,Alpha Innovations,Email,Men 18-24,45 days,Instagram,"0,07","$11.926,00","2,39",Los Angeles,2021-07-01,631,1485,3,Outdoor Adventurers,7,July
1278,NexGen Systems,Display,Women 25-34,60 days,Instagram,"0,03","$14.374,00","4,14",New York,2021-07-02,865,8480,7,Foodies,7,July
1279,Innovate Industries,Email,Men 25-34,60 days,Email,"0,01","$9.887,00","4,68",Houston,2021-07-03,501,8783,8,Tech Enthusiasts,7,July
1280,NexGen Systems,Search,Women 35-44,45 days,Website,"0,12","$8.325,00","6,76",Chicago,2021-07-04,852,3570,6,Tech Enthusiasts,7,July
1281,NexGen Systems,Email,Women 25-34,30 days,Email,"0,07","$13.432,00","3,34",Los Angeles,2021-07-05,197,5963,7,Fashionistas,7,July
1282,DataTech Solutions,Email,Men 25-34,60 days,Facebook,"0,03","$12.460,00","4,89",Miami,2021-07-06,548,2500,9,Tech Enthusiasts,7,July
1283,Alpha Innovations,Search,All Ages,45 days,Email,"0,11","$8.952,00","2,27",Chicago,2021-07-07,536,7119,4,Tech Enthusiasts,7,July
1284,DataTech Solutions,Email,Men 25-34,15 days,Website,"0,02","$10.898,00","5,21",Los Angeles,2021-07-08,821,4209,3,Health & Wellness,7,July
1285,Alpha Innovations,Email,Women 25-34,30 days,Google Ads,"0,14","$10.707,00","7,04",Los Angeles,2021-07-09,254,7406,6,Tech Enthusiasts,7,July
1286,Innovate Industries,Social Media,Women 35-44,15 days,Google Ads,"0,14","$8.395,00","5,18",Miami,2021-07-10,478,7786,4,Foodies,7,July
1287,DataTech Solutions,Email,Women 35-44,30 days,YouTube,"0,01","$10.584,00","6,12",Houston,2021-07-11,557,2592,3,Health & Wellness,7,July
1288,Innovate Industries,Email,All Ages,15 days,Website,"0,15","$7.380,00","2,06",Chicago,2021-07-12,167,1664,1,Tech Enthusiasts,7,July
1289,NexGen Systems,Display,All Ages,60 days,Website,"0,1","$15.133,00","5,77",Houston,2021-07-13,942,4659,5,Health & Wellness,7,July
1290,Alpha Innovations,Email,Women 25-34,30 days,Facebook,"0,08","$5.915,00","5,93",Houston,2021-07-14,497,5947,3,Foodies,7,July
1291,TechCorp,Influencer,Women 35-44,60 days,Email,"0,04","$10.986,00","4,15",New York,2021-07-15,341,9594,5,Fashionistas,7,July
1292,DataTech Solutions,Social Media,Men 25-34,45 days,Email,"0,03","$10.887,00","5,23",Houston,2021-07-16,804,8062,8,Health & Wellness,7,July
1293,Alpha Innovations,Email,All Ages,60 days,Instagram,"0,15","$5.790,00","7,21",New York,2021-07-17,573,6648,9,Health & Wellness,7,July
1294,Innovate Industries,Email,Men 25-34,45 days,Email,"0,09","$11.754,00","4,44",Chicago,2021-07-18,810,4274,3,Tech Enthusiasts,7,July
1295,TechCorp,Email,Women 25-34,60 days,Facebook,"0,03","$5.547,00","6,94",Miami,2021-07-19,418,2397,6,Foodies,7,July
1296,Innovate Industries,Email,Women 25-34,30 days,Instagram,"0,11","$7.649,00","7,6",Los Angeles,2021-07-20,601,5735,6,Tech Enthusiasts,7,July
1297,DataTech Solutions,Influencer,Men 25-34,30 days,Instagram,"0,15","$17.171,00","2,69",Chicago,2021-07-21,888,9348,4,Foodies,7,July
1298,NexGen Systems,Social Media,Men 25-34,30 days,Instagram,"0,11","$12.348,00","3,54",Los Angeles,2021-07-22,608,7469,2,Fashionistas,7,July
1299,DataTech Solutions,Social Media,Men 25-34,15 days,Instagram,"0,08","$11.913,00","7,14",Miami,2021-07-23,789,7249,8,Tech Enthusiasts,7,July
1300,NexGen Systems,Email,Women 35-44,30 days,Website,"0,14","$6.667,00","6,29",Los Angeles,2021-07-24,762,5469,9,Health & Wellness,7,July
1301,Innovate Industries,Email,All Ages,30 days,Website,"0,14","$14.660,00","4,06",Miami,2021-07-25,273,4775,7,Tech Enthusiasts,7,July
1302,Innovate Industries,Social Media,All Ages,60 days,Email,"0,12","$8.139,00","2,04",Miami,2021-07-26,899,6510,5,Outdoor Adventurers,7,July
1303,NexGen Systems,Search,Women 35-44,45 days,Instagram,"0,12","$14.458,00","6,2",Miami,2021-07-27,747,3517,9,Outdoor Adventurers,7,July
1304,TechCorp,Influencer,All Ages,60 days,Email,"0,08","$12.913,00","6,38",Miami,2021-07-28,270,7095,6,Outdoor Adventurers,7,July
1305,TechCorp,Email,Women 25-34,30 days,Email,"0,03","$5.381,00","5,48",New York,2021-07-29,321,2376,8,Foodies,7,July
1306,Innovate Industries,Display,Women 35-44,30 days,Facebook,"0,12","$8.149,00","7,58",New York,2021-07-30,843,2541,6,Tech Enthusiasts,7,July
1307,TechCorp,Search,Women 25-34,45 days,Email,"0,14","$19.289,00","3,07",Houston,2021-07-31,934,1129,7,Outdoor Adventurers,7,July
1642,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,"0,04","$7.188,00","7,36",Houston,2021-07-01,759,6240,10,Tech Enthusiasts,7,July
1643,Innovate Industries,Social Media,Women 35-44,15 days,Email,"0,09","$19.434,00","5,18",Chicago,2021-07-02,778,4730,5,Health & Wellness,7,July
1644,TechCorp,Social Media,All Ages,45 days,Instagram,"0,1","$13.123,00","6,37",Los Angeles,2021-07-03,282,6607,7,Health & Wellness,7,July
1645,Innovate Industries,Search,All Ages,60 days,Email,"0,1","$14.931,00","7,81",Los Angeles,2021-07-04,431,4573,3,Foodies,7,July
1646,DataTech Solutions,Search,Men 25-34,15 days,Email,"0,1","$11.594,00","7,85",Miami,2021-07-05,896,6154,10,Fashionistas,7,July
1647,Alpha Innovations,Email,All Ages,45 days,Facebook,"0,12","$5.702,00","7,53",New York,2021-07-06,778,8473,6,Outdoor Adventurers,7,July
